"Lester Dent","The Man of Bronze","Mar, 1933","1933"
"Lester Dent","The Land of Terror","Apr, 1933","1933"
"Lester Dent","Quest of the Spider","May, 1933","1933"
"Lester Dent","The Polar Treasure","Jun, 1933","1933"
"Lester Dent","Pirate of the Pacific","Jul, 1933","1933"
"Lester Dent","The Red Skull","Aug, 1933","1933"
"Lester Dent","The Lost Oasis","Sep, 1933","1933"
"Lester Dent","The Sargasso Ogre","Oct, 1933","1933"
"Lester Dent","The Czar of Fear","Nov, 1933","1933"
"Lester Dent","The Phantom City","Dec, 1933","1933"
"Lester Dent","Brand of the Werewolf","Jan, 1934","1934"
"Lester Dent","The Man Who Shook the Earth","Feb, 1934","1934"
"Lester Dent","Meteor Menace","Mar, 1934","1934"
"Lester Dent","The Monsters","Apr, 1934","1934"
"Lester Dent","The Mystery on the Snow","May, 1934","1934"
"Harold A. Davis / Lester Dent","The King Maker","Jun, 1934","1934"
"Lester Dent","The Thousand-Headed Man","Jul, 1934","1934"
"Lester Dent","The Squeaking Goblin","Aug, 1934","1934"
"Lester Dent","Fear Cay","Sep, 1934","1934"
"Lester Dent","Death in Silver","Oct, 1934","1934"
"Lester Dent","The Sea Magician","Nov, 1934","1934"
"Lester Dent","The Annihilist","Dec, 1934","1934"
"Richard Sale / Lester Dent","The Mystic Mullah","Jan, 1935","1935"
"Lester Dent","Red Snow","Feb, 1935","1935"
"W. Ryerson Johnson / Lester Dent","Land of Always-Night","Mar, 1935","1935"
"Lester Dent","The Spook Legion","Apr, 1935","1935"
"Lester Dent","The Secret in the Sky","May, 1935","1935"
"Lester Dent","The Roar Devil","Jun, 1935","1935"
"Lester Dent","Quest of Qui","Jul, 1935","1935"
"Lester Dent","Spook Hole","Aug, 1935","1935"
"J. Allan Dunn / Lester Dent","The Majii","Sep, 1935","1935"
"Harold A. Davis / Lester Dent","Dust of Death","Oct, 1935","1935"
"Lawrence Donovan","Murder Melody","Nov, 1935","1935"
"W. Ryerson Johnson / Lester Dent","The Fantastic Island","Dec, 1935","1935"
"Lawrence Donovan","Murder Mirage","Jan, 1936","1936"
"Lester Dent","Mystery Under the Sea","Feb, 1936","1936"
"Lester Dent","The Metal Master","Mar, 1936","1936"
"Lawrence Donovan","The Men Who Smiled No More","Apr, 1936","1936"
"Martin E. Baker / Lester Dent","The Seven Agate Devils","May, 1936","1936"
"Lawrence Donovan","The Haunted Ocean","Jun, 1936","1936"
"Lawrence Donovan","The Black Spot","Jul, 1936","1936"
"Lester Dent","The Midas Man","Aug, 1936","1936"
"Lawrence Donovan","Cold Death","Sep, 1936","1936"
